SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0.5 (rep 3),1-Compress,0,3.528,0,0.011,,0,140.056,,0,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.033,3.526,0.002,0.038,,0.000566893,483.831,,0.0566893,0.483831,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.067,3.524,0.004,0.018,,0.00113379,229.183,,0.113379,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.1,3.522,0.006,0.018,,0.00170068,229.183,,0.170068,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.133,3.519,0.009,0.011,,0.00255102,140.056,,0.255102,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.167,3.516,0.012,0.011,,0.00340136,140.056,,0.340136,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.2,3.515,0.013,0.011,,0.00368481,140.056,,0.368481,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.233,3.513,0.015,0.018,,0.0042517,229.183,,0.42517,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.267,3.509,0.019,0.025,,0.00538549,318.31,,0.538549,0.31831,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.3,3.507,0.021,0.025,,0.00595238,318.31,,0.595238,0.31831,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.333,3.505,0.023,0.025,,0.00651927,318.31,,0.651927,0.31831,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.367,3.503,0.025,0.011,,0.00708617,140.056,,0.708617,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.4,3.5,0.028,0.018,,0.00793651,229.183,,0.793651,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.433,3.498,0.03,0.018,,0.0085034,229.183,,0.85034,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.467,3.495,0.033,0.018,,0.00935374,229.183,,0.935374,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.5,3.493,0.035,0.011,,0.00992063,140.056,,0.992063,0.140056,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.533,3.491,0.037,0.018,,0.0104875,229.183,,1.04875,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.567,3.488,0.04,0.018,,0.0113379,229.183,,1.13379,0.229183,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.6,3.486,0.042,0.025,,0.0119048,318.31,,1.19048,0.31831,,,,7.85398e-5
1:0.5 (rep 3),1-Compress,0.633,3.484,0.044,0.018,,0.0124717,229.183,,1.24717,0.229183,,,,7.85398e-5
