SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,2.777,-0,0.004,,0,50.9296,,0,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.033,2.776,0.001,-0.003,,0.000360101,-38.1972,,0.0360101,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.067,2.774,0.003,0.004,,0.0010803,50.9296,,0.10803,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.100,2.772,0.005,-0.003,,0.0018005,-38.1972,,0.18005,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.133,2.77,0.007,-0.003,,0.00252071,-38.1972,,0.252071,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.167,2.768,0.009,-0.003,,0.00324091,-38.1972,,0.324091,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.200,2.766,0.011,-0.003,,0.00396111,-38.1972,,0.396111,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.233,2.764,0.013,-0.003,,0.00468131,-38.1972,,0.468131,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.267,2.762,0.015,-0.003,,0.00540151,-38.1972,,0.540151,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.300,2.761,0.016,-0.003,,0.00576161,-38.1972,,0.576161,-0.0381972,,,,7.85398e-5
Test1,1-Compress,0.333,2.759,0.018,0.004,,0.00648181,50.9296,,0.648181,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.367,2.757,0.02,0.004,,0.00720202,50.9296,,0.720202,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.400,2.755,0.022,0.004,,0.00792222,50.9296,,0.792222,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.433,2.754,0.023,0.004,,0.00828232,50.9296,,0.828232,0.0509296,,,,7.85398e-5
Test1,1-Compress,0.467,2.751,0.026,-0.003,,0.00936262,-38.1972,,0.936262,-0.0381972,,,,7.85398e-5
