SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0 (rep 1),1-Compress,0,3.074,0,-0.004,,0,-50.9296,,0,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.033,3.073,0.001,-0.004,,0.000325309,-50.9296,,0.0325309,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.067,3.07,0.004,-0.004,,0.00130124,-50.9296,,0.130124,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.1,3.069,0.005,-0.004,,0.00162655,-50.9296,,0.162655,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.133,3.067,0.007,-0.004,,0.00227716,-50.9296,,0.227716,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.167,3.064,0.01,-0.004,,0.00325309,-50.9296,,0.325309,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.2,3.062,0.012,-0.004,,0.00390371,-50.9296,,0.390371,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.233,3.06,0.014,0.002,,0.00455433,25.4648,,0.455433,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.267,3.058,0.016,0.002,,0.00520494,25.4648,,0.520494,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.3,3.056,0.018,0.009,,0.00585556,114.592,,0.585556,0.114592,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.333,3.054,0.02,0.009,,0.00650618,114.592,,0.650618,0.114592,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.367,3.052,0.022,0.009,,0.0071568,114.592,,0.71568,0.114592,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.4,3.05,0.024,0.002,,0.00780742,25.4648,,0.780742,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.433,3.048,0.026,0.002,,0.00845804,25.4648,,0.845804,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.467,3.046,0.028,0.002,,0.00910865,25.4648,,0.910865,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.5,3.044,0.03,0.002,,0.00975927,25.4648,,0.975927,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.533,3.042,0.032,-0.004,,0.0104099,-50.9296,,1.04099,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.567,3.04,0.034,0.002,,0.0110605,25.4648,,1.10605,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.6,3.038,0.036,0.009,,0.0117111,114.592,,1.17111,0.114592,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.633,3.036,0.038,0.009,,0.0123617,114.592,,1.23617,0.114592,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.667,3.033,0.041,0.002,,0.0133377,25.4648,,1.33377,0.0254648,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.7,3.032,0.042,-0.004,,0.013663,-50.9296,,1.3663,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.733,3.03,0.044,-0.004,,0.0143136,-50.9296,,1.43136,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.767,3.027,0.047,-0.004,,0.0152895,-50.9296,,1.52895,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.8,3.025,0.049,-0.004,,0.0159401,-50.9296,,1.59401,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.833,3.023,0.051,-0.004,,0.0165908,-50.9296,,1.65908,-0.0509296,,,,7.85398e-5
1:0 (rep 1),1-Compress,0.867,3.021,0.053,0.002,,0.0172414,25.4648,,1.72414,0.0254648,,,,7.85398e-5
