SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,3.923,-0,-0.007,,0,-89.1268,,0,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.033,3.921,0.002,-0.007,,0.000509814,-89.1268,,0.0509814,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.067,3.918,0.005,0.007,,0.00127453,89.1268,,0.127453,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.100,3.916,0.007,0.013,,0.00178435,165.521,,0.178435,0.165521,,,,7.85398e-5
Test1,1-Compress,0.133,3.913,0.01,0.013,,0.00254907,165.521,,0.254907,0.165521,,,,7.85398e-5
Test1,1-Compress,0.167,3.911,0.012,-0.007,,0.00305888,-89.1268,,0.305888,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.200,3.908,0.015,-0.007,,0.0038236,-89.1268,,0.38236,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.233,3.906,0.017,-0.000,,0.00433342,0,,0.433342,0,,,,7.85398e-5
Test1,1-Compress,0.267,3.903,0.02,-0.000,,0.00509814,0,,0.509814,0,,,,7.85398e-5
Test1,1-Compress,0.300,3.9,0.023,-0.014,,0.00586286,-178.254,,0.586286,-0.178254,,,,7.85398e-5
Test1,1-Compress,0.333,3.898,0.025,-0.007,,0.00637267,-89.1268,,0.637267,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.367,3.895,0.028,0.007,,0.00713739,89.1268,,0.713739,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.400,3.892,0.031,0.007,,0.00790212,89.1268,,0.790212,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.433,3.89,0.033,0.013,,0.00841193,165.521,,0.841193,0.165521,,,,7.85398e-5
Test1,1-Compress,0.467,3.887,0.036,0.007,,0.00917665,89.1268,,0.917665,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.500,3.884,0.039,-0.000,,0.00994137,0,,0.994137,0,,,,7.85398e-5
Test1,1-Compress,0.533,3.882,0.041,-0.007,,0.0104512,-89.1268,,1.04512,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.567,3.879,0.044,-0.007,,0.0112159,-89.1268,,1.12159,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.600,3.877,0.046,-0.007,,0.0117257,-89.1268,,1.17257,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.633,3.875,0.048,-0.014,,0.0122355,-178.254,,1.22355,-0.178254,,,,7.85398e-5
Test1,1-Compress,0.667,3.871,0.052,-0.000,,0.0132552,0,,1.32552,0,,,,7.85398e-5
Test1,1-Compress,0.700,3.869,0.054,0.007,,0.013765,89.1268,,1.3765,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.733,3.867,0.056,0.013,,0.0142748,165.521,,1.42748,0.165521,,,,7.85398e-5
Test1,1-Compress,0.767,3.863,0.06,-0.000,,0.0152944,0,,1.52944,0,,,,7.85398e-5
Test1,1-Compress,0.800,3.861,0.062,-0.000,,0.0158042,0,,1.58042,0,,,,7.85398e-5
Test1,1-Compress,0.833,3.859,0.064,0.007,,0.016314,89.1268,,1.6314,0.0891268,,,,7.85398e-5
Test1,1-Compress,0.867,3.855,0.068,-0.007,,0.0173337,-89.1268,,1.73337,-0.0891268,,,,7.85398e-5
Test1,1-Compress,0.900,3.853,0.07,-0.014,,0.0178435,-178.254,,1.78435,-0.178254,,,,7.85398e-5
Test1,1-Compress,0.933,3.851,0.072,-0.014,,0.0183533,-178.254,,1.83533,-0.178254,,,,7.85398e-5
Test1,1-Compress,0.967,3.847,0.076,-0.000,,0.0193729,0,,1.93729,0,,,,7.85398e-5
Test1,1-Compress,1.000,3.845,0.078,-0.000,,0.0198827,0,,1.98827,0,,,,7.85398e-5
Test1,1-Compress,1.033,3.843,0.08,0.007,,0.0203926,89.1268,,2.03926,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.067,3.84,0.083,0.007,,0.0211573,89.1268,,2.11573,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.100,3.838,0.085,0.007,,0.0216671,89.1268,,2.16671,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.133,3.835,0.088,-0.007,,0.0224318,-89.1268,,2.24318,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.167,3.832,0.091,-0.007,,0.0231965,-89.1268,,2.31965,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.200,3.83,0.093,-0.007,,0.0237063,-89.1268,,2.37063,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.233,3.827,0.096,-0.014,,0.0244711,-178.254,,2.44711,-0.178254,,,,7.85398e-5
Test1,1-Compress,1.267,3.824,0.099,-0.014,,0.0252358,-178.254,,2.52358,-0.178254,,,,7.85398e-5
Test1,1-Compress,1.300,3.822,0.101,-0.007,,0.0257456,-89.1268,,2.57456,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.333,3.819,0.104,0.007,,0.0265103,89.1268,,2.65103,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.367,3.816,0.107,0.007,,0.027275,89.1268,,2.7275,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.400,3.814,0.109,0.007,,0.0277849,89.1268,,2.77849,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.433,3.811,0.112,0.007,,0.0285496,89.1268,,2.85496,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.467,3.809,0.114,0.007,,0.0290594,89.1268,,2.90594,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.500,3.806,0.117,0.007,,0.0298241,89.1268,,2.98241,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.533,3.804,0.119,-0.007,,0.0303339,-89.1268,,3.03339,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.567,3.801,0.122,-0.007,,0.0310986,-89.1268,,3.10986,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.600,3.798,0.125,-0.000,,0.0318634,0,,3.18634,0,,,,7.85398e-5
Test1,1-Compress,1.633,3.796,0.127,0.007,,0.0323732,89.1268,,3.23732,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.667,3.793,0.13,0.007,,0.0331379,89.1268,,3.31379,0.0891268,,,,7.85398e-5
Test1,1-Compress,1.700,3.79,0.133,0.020,,0.0339026,254.648,,3.39026,0.254648,,,,7.85398e-5
Test1,1-Compress,1.733,3.788,0.135,0.013,,0.0344124,165.521,,3.44124,0.165521,,,,7.85398e-5
Test1,1-Compress,1.767,3.785,0.138,-0.000,,0.0351772,0,,3.51772,0,,,,7.85398e-5
Test1,1-Compress,1.800,3.782,0.141,-0.007,,0.0359419,-89.1268,,3.59419,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.833,3.78,0.143,-0.007,,0.0364517,-89.1268,,3.64517,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.867,3.777,0.146,-0.000,,0.0372164,0,,3.72164,0,,,,7.85398e-5
Test1,1-Compress,1.900,3.775,0.148,-0.000,,0.0377262,0,,3.77262,0,,,,7.85398e-5
Test1,1-Compress,1.933,3.772,0.151,-0.007,,0.038491,-89.1268,,3.8491,-0.0891268,,,,7.85398e-5
Test1,1-Compress,1.967,3.769,0.154,0.007,,0.0392557,89.1268,,3.92557,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.000,3.767,0.156,0.007,,0.0397655,89.1268,,3.97655,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.033,3.764,0.159,0.007,,0.0405302,89.1268,,4.05302,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.067,3.761,0.162,-0.000,,0.0412949,0,,4.12949,0,,,,7.85398e-5
Test1,1-Compress,2.100,3.759,0.164,-0.000,,0.0418047,0,,4.18047,0,,,,7.85398e-5
Test1,1-Compress,2.133,3.756,0.167,-0.000,,0.0425695,0,,4.25695,0,,,,7.85398e-5
Test1,1-Compress,2.167,3.753,0.17,-0.014,,0.0433342,-178.254,,4.33342,-0.178254,,,,7.85398e-5
Test1,1-Compress,2.200,3.751,0.172,-0.014,,0.043844,-178.254,,4.3844,-0.178254,,,,7.85398e-5
Test1,1-Compress,2.233,3.748,0.175,-0.014,,0.0446087,-178.254,,4.46087,-0.178254,,,,7.85398e-5
Test1,1-Compress,2.267,3.745,0.178,-0.007,,0.0453734,-89.1268,,4.53734,-0.0891268,,,,7.85398e-5
Test1,1-Compress,2.300,3.743,0.18,-0.000,,0.0458833,0,,4.58833,0,,,,7.85398e-5
Test1,1-Compress,2.333,3.741,0.182,0.013,,0.0463931,165.521,,4.63931,0.165521,,,,7.85398e-5
Test1,1-Compress,2.367,3.738,0.185,0.013,,0.0471578,165.521,,4.71578,0.165521,,,,7.85398e-5
Test1,1-Compress,2.400,3.735,0.188,0.007,,0.0479225,89.1268,,4.79225,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.433,3.733,0.19,-0.000,,0.0484323,0,,4.84323,0,,,,7.85398e-5
Test1,1-Compress,2.467,3.73,0.193,0.007,,0.049197,89.1268,,4.9197,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.500,3.727,0.196,-0.000,,0.0499618,0,,4.99618,0,,,,7.85398e-5
Test1,1-Compress,2.533,3.725,0.198,0.013,,0.0504716,165.521,,5.04716,0.165521,,,,7.85398e-5
Test1,1-Compress,2.567,3.722,0.201,0.007,,0.0512363,89.1268,,5.12363,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.600,3.719,0.204,-0.000,,0.052001,0,,5.2001,0,,,,7.85398e-5
Test1,1-Compress,2.633,3.717,0.206,0.013,,0.0525108,165.521,,5.25108,0.165521,,,,7.85398e-5
Test1,1-Compress,2.667,3.714,0.209,0.013,,0.0532756,165.521,,5.32756,0.165521,,,,7.85398e-5
Test1,1-Compress,2.700,3.712,0.211,0.007,,0.0537854,89.1268,,5.37854,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.733,3.709,0.214,0.007,,0.0545501,89.1268,,5.45501,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.767,3.706,0.217,0.007,,0.0553148,89.1268,,5.53148,0.0891268,,,,7.85398e-5
Test1,1-Compress,2.800,3.704,0.219,-0.000,,0.0558246,0,,5.58246,0,,,,7.85398e-5
Test1,1-Compress,2.833,3.702,0.221,-0.007,,0.0563344,-89.1268,,5.63344,-0.0891268,,,,7.85398e-5
Test1,1-Compress,2.867,3.698,0.225,-0.000,,0.0573541,0,,5.73541,0,,,,7.85398e-5
Test1,1-Compress,2.900,3.696,0.227,0.013,,0.0578639,165.521,,5.78639,0.165521,,,,7.85398e-5
Test1,1-Compress,2.933,3.694,0.229,0.013,,0.0583737,165.521,,5.83737,0.165521,,,,7.85398e-5
