SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0.5 (rep 1),1-Compress,0,3.215,0,0.05,,0,636.62,,0,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.033,3.214,0.001,0.05,,0.000311042,636.62,,0.0311042,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.067,3.211,0.004,0.05,,0.00124417,636.62,,0.124417,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.1,3.209,0.006,0.05,,0.00186625,636.62,,0.186625,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.133,3.207,0.008,0.05,,0.00248834,636.62,,0.248834,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.167,3.205,0.01,0.05,,0.00311042,636.62,,0.311042,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.2,3.203,0.012,0.05,,0.0037325,636.62,,0.37325,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.233,3.201,0.014,0.05,,0.00435459,636.62,,0.435459,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.267,3.198,0.017,0.05,,0.00528771,636.62,,0.528771,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.3,3.196,0.019,0.05,,0.0059098,636.62,,0.59098,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.333,3.194,0.021,0.05,,0.00653188,636.62,,0.653188,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.367,3.192,0.023,0.05,,0.00715397,636.62,,0.715397,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.4,3.19,0.025,0.05,,0.00777605,636.62,,0.777605,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.433,3.188,0.027,0.05,,0.00839813,636.62,,0.839813,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.467,3.185,0.03,0.05,,0.00933126,636.62,,0.933126,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.5,3.183,0.032,0.05,,0.00995334,636.62,,0.995334,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.533,3.181,0.034,0.064,,0.0105754,814.873,,1.05754,0.814873,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.567,3.179,0.036,0.064,,0.0111975,814.873,,1.11975,0.814873,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.6,3.177,0.038,0.05,,0.0118196,636.62,,1.18196,0.63662,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.633,3.175,0.04,0.057,,0.0124417,725.747,,1.24417,0.725747,,,,7.85398e-5
1:0.5 (rep 1),1-Compress,0.667,3.173,0.042,0.057,,0.0130638,725.747,,1.30638,0.725747,,,,7.85398e-5
