SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,6.011,-0,-0.004,,0,-50.9296,,0,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.033,6.01,0.001,-0.004,,0.000166362,-50.9296,,0.0166362,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.067,6.005,0.006,0.003,,0.00099817,38.1972,,0.099817,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.100,6.001,0.01,0.003,,0.00166362,38.1972,,0.166362,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.133,5.997,0.014,0.003,,0.00232906,38.1972,,0.232906,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.167,5.992,0.019,-0.004,,0.00316087,-50.9296,,0.316087,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.200,5.989,0.022,-0.004,,0.00365996,-50.9296,,0.365996,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.233,5.985,0.026,-0.004,,0.0043254,-50.9296,,0.43254,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.267,5.981,0.03,-0.004,,0.00499085,-50.9296,,0.499085,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.300,5.977,0.034,-0.004,,0.0056563,-50.9296,,0.56563,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.333,5.973,0.038,0.003,,0.00632174,38.1972,,0.632174,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.367,5.969,0.042,0.003,,0.00698719,38.1972,,0.698719,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.400,5.965,0.046,0.003,,0.00765264,38.1972,,0.765264,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.433,5.961,0.05,0.003,,0.00831808,38.1972,,0.831808,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.467,5.957,0.054,0.003,,0.00898353,38.1972,,0.898353,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.500,5.953,0.058,-0.004,,0.00964898,-50.9296,,0.964898,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.533,5.949,0.062,-0.004,,0.0103144,-50.9296,,1.03144,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.567,5.944,0.067,-0.004,,0.0111462,-50.9296,,1.11462,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.600,5.941,0.07,-0.004,,0.0116453,-50.9296,,1.16453,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.633,5.937,0.074,-0.004,,0.0123108,-50.9296,,1.23108,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.667,5.932,0.079,0.003,,0.0131426,38.1972,,1.31426,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.700,5.929,0.082,-0.004,,0.0136417,-50.9296,,1.36417,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.733,5.925,0.086,-0.004,,0.0143071,-50.9296,,1.43071,-0.0509296,,,,7.85398e-5
