SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,6.482,-0,-0.004,,0,-50.9296,,0,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.033,6.481,0.001,-0.004,,0.000154273,-50.9296,,0.0154273,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.067,6.475,0.007,-0.004,,0.00107991,-50.9296,,0.107991,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.100,6.471,0.011,-0.004,,0.00169701,-50.9296,,0.169701,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.133,6.467,0.015,-0.004,,0.0023141,-50.9296,,0.23141,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.167,6.462,0.02,-0.004,,0.00308547,-50.9296,,0.308547,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.200,6.458,0.024,0.003,,0.00370256,38.1972,,0.370256,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.233,6.454,0.028,0.003,,0.00431965,38.1972,,0.431965,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.267,6.449,0.033,0.003,,0.00509102,38.1972,,0.509102,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.300,6.445,0.037,0.003,,0.00570811,38.1972,,0.570811,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.333,6.442,0.04,0.003,,0.00617093,38.1972,,0.617093,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.367,6.436,0.046,-0.004,,0.00709658,-50.9296,,0.709658,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.400,6.432,0.05,-0.004,,0.00771367,-50.9296,,0.771367,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.433,6.428,0.054,-0.004,,0.00833076,-50.9296,,0.833076,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.467,6.423,0.059,-0.004,,0.00910213,-50.9296,,0.910213,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.500,6.419,0.063,0.003,,0.00971922,38.1972,,0.971922,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.533,6.416,0.066,0.003,,0.010182,38.1972,,1.0182,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.567,6.41,0.072,0.003,,0.0111077,38.1972,,1.11077,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.600,6.406,0.076,0.003,,0.0117248,38.1972,,1.17248,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.633,6.403,0.079,0.003,,0.0121876,38.1972,,1.21876,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.667,6.397,0.085,-0.004,,0.0131132,-50.9296,,1.31132,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.700,6.393,0.089,-0.004,,0.0137303,-50.9296,,1.37303,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.733,6.389,0.093,-0.004,,0.0143474,-50.9296,,1.43474,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.767,6.384,0.098,-0.004,,0.0151188,-50.9296,,1.51188,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.800,6.38,0.102,-0.004,,0.0157359,-50.9296,,1.57359,-0.0509296,,,,7.85398e-5
Test1,1-Compress,0.833,6.377,0.105,0.003,,0.0161987,38.1972,,1.61987,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.867,6.371,0.111,0.003,,0.0171243,38.1972,,1.71243,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.900,6.367,0.115,0.003,,0.0177414,38.1972,,1.77414,0.0381972,,,,7.85398e-5
Test1,1-Compress,0.933,6.364,0.118,0.010,,0.0182043,127.324,,1.82043,0.127324,,,,7.85398e-5
Test1,1-Compress,0.967,6.358,0.124,0.003,,0.0191299,38.1972,,1.91299,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.000,6.354,0.128,-0.004,,0.019747,-50.9296,,1.9747,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.033,6.351,0.131,-0.004,,0.0202098,-50.9296,,2.02098,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.067,6.345,0.137,-0.004,,0.0211355,-50.9296,,2.11355,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.100,6.341,0.141,-0.004,,0.0217525,-50.9296,,2.17525,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.133,6.338,0.144,-0.004,,0.0222154,-50.9296,,2.22154,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.167,6.332,0.15,0.003,,0.023141,38.1972,,2.3141,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.200,6.328,0.154,0.003,,0.0237581,38.1972,,2.37581,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.233,6.325,0.157,0.010,,0.0242209,127.324,,2.42209,0.127324,,,,7.85398e-5
Test1,1-Compress,1.267,6.32,0.162,0.003,,0.0249923,38.1972,,2.49923,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.300,6.316,0.166,0.003,,0.0256094,38.1972,,2.56094,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.333,6.312,0.17,-0.004,,0.0262265,-50.9296,,2.62265,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.367,6.306,0.176,-0.004,,0.0271521,-50.9296,,2.71521,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.400,6.302,0.18,-0.004,,0.0277692,-50.9296,,2.77692,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.433,6.298,0.184,-0.004,,0.0283863,-50.9296,,2.83863,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.467,6.293,0.189,0.003,,0.0291577,38.1972,,2.91577,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.500,6.289,0.193,0.003,,0.0297748,38.1972,,2.97748,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.533,6.286,0.196,0.003,,0.0302376,38.1972,,3.02376,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.567,6.281,0.201,0.003,,0.0310089,38.1972,,3.10089,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.600,6.277,0.205,-0.004,,0.031626,-50.9296,,3.1626,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.633,6.273,0.209,-0.004,,0.0322431,-50.9296,,3.22431,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.667,6.267,0.215,-0.004,,0.0331688,-50.9296,,3.31688,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.700,6.263,0.219,-0.004,,0.0337859,-50.9296,,3.37859,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.733,6.259,0.223,-0.004,,0.034403,-50.9296,,3.4403,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.767,6.254,0.228,-0.004,,0.0351743,-50.9296,,3.51743,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.800,6.251,0.231,-0.004,,0.0356371,-50.9296,,3.56371,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.833,6.247,0.235,-0.004,,0.0362542,-50.9296,,3.62542,-0.0509296,,,,7.85398e-5
Test1,1-Compress,1.867,6.242,0.24,0.003,,0.0370256,38.1972,,3.70256,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.900,6.238,0.244,0.003,,0.0376427,38.1972,,3.76427,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.933,6.234,0.248,0.003,,0.0382598,38.1972,,3.82598,0.0381972,,,,7.85398e-5
Test1,1-Compress,1.967,6.228,0.254,-0.004,,0.0391854,-50.9296,,3.91854,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.000,6.224,0.258,-0.004,,0.0398025,-50.9296,,3.98025,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.033,6.221,0.261,-0.004,,0.0402654,-50.9296,,4.02654,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.067,6.216,0.266,-0.004,,0.0410367,-50.9296,,4.10367,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.100,6.212,0.27,-0.004,,0.0416538,-50.9296,,4.16538,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.133,6.208,0.274,0.003,,0.0422709,38.1972,,4.22709,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.167,6.203,0.279,0.003,,0.0430423,38.1972,,4.30423,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.200,6.199,0.283,0.003,,0.0436594,38.1972,,4.36594,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.233,6.195,0.287,0.003,,0.0442765,38.1972,,4.42765,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.267,6.189,0.293,-0.004,,0.0452021,-50.9296,,4.52021,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.300,6.186,0.296,-0.004,,0.0456649,-50.9296,,4.56649,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.333,6.182,0.3,-0.004,,0.046282,-50.9296,,4.6282,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.367,6.177,0.305,-0.004,,0.0470534,-50.9296,,4.70534,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.400,6.173,0.309,-0.004,,0.0476705,-50.9296,,4.76705,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.433,6.169,0.313,0.003,,0.0482876,38.1972,,4.82876,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.467,6.164,0.318,0.003,,0.0490589,38.1972,,4.90589,0.0381972,,,,7.85398e-5
Test1,1-Compress,2.500,6.16,0.322,-0.004,,0.049676,-50.9296,,4.9676,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.533,6.156,0.326,-0.004,,0.0502931,-50.9296,,5.02931,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.567,6.151,0.331,-0.004,,0.0510645,-50.9296,,5.10645,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.600,6.147,0.335,-0.004,,0.0516816,-50.9296,,5.16816,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.633,6.143,0.339,-0.004,,0.0522987,-50.9296,,5.22987,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.667,6.138,0.344,-0.004,,0.05307,-50.9296,,5.307,-0.0509296,,,,7.85398e-5
Test1,1-Compress,2.700,6.134,0.348,-0.004,,0.0536871,-50.9296,,5.36871,-0.0509296,,,,7.85398e-5
