SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,2.208,-0,0.031,,0,394.704,,0,0.394704,,,,7.85398e-5
Test1,1-Compress,0.033,2.206,0.002,0.031,,0.000905797,394.704,,0.0905797,0.394704,,,,7.85398e-5
Test1,1-Compress,0.067,2.205,0.003,0.038,,0.0013587,483.831,,0.13587,0.483831,,,,7.85398e-5
Test1,1-Compress,0.100,2.204,0.004,0.038,,0.00181159,483.831,,0.181159,0.483831,,,,7.85398e-5
Test1,1-Compress,0.133,2.202,0.006,0.031,,0.00271739,394.704,,0.271739,0.394704,,,,7.85398e-5
Test1,1-Compress,0.167,2.2,0.008,0.031,,0.00362319,394.704,,0.362319,0.394704,,,,7.85398e-5
Test1,1-Compress,0.200,2.199,0.009,0.038,,0.00407609,483.831,,0.407609,0.483831,,,,7.85398e-5
Test1,1-Compress,0.233,2.198,0.01,0.038,,0.00452899,483.831,,0.452899,0.483831,,,,7.85398e-5
Test1,1-Compress,0.267,2.196,0.012,0.044,,0.00543478,560.226,,0.543478,0.560226,,,,7.85398e-5
Test1,1-Compress,0.300,2.195,0.013,0.044,,0.00588768,560.226,,0.588768,0.560226,,,,7.85398e-5
Test1,1-Compress,0.333,2.193,0.015,0.031,,0.00679348,394.704,,0.679348,0.394704,,,,7.85398e-5
Test1,1-Compress,0.367,2.192,0.016,0.031,,0.00724638,394.704,,0.724638,0.394704,,,,7.85398e-5
Test1,1-Compress,0.400,2.19,0.018,0.031,,0.00815217,394.704,,0.815217,0.394704,,,,7.85398e-5
Test1,1-Compress,0.433,2.189,0.019,0.031,,0.00860507,394.704,,0.860507,0.394704,,,,7.85398e-5
Test1,1-Compress,0.467,2.187,0.021,0.031,,0.00951087,394.704,,0.951087,0.394704,,,,7.85398e-5
Test1,1-Compress,0.500,2.186,0.022,0.038,,0.00996377,483.831,,0.996377,0.483831,,,,7.85398e-5
Test1,1-Compress,0.533,2.185,0.023,0.038,,0.0104167,483.831,,1.04167,0.483831,,,,7.85398e-5
Test1,1-Compress,0.567,2.183,0.025,0.044,,0.0113225,560.226,,1.13225,0.560226,,,,7.85398e-5
Test1,1-Compress,0.600,2.181,0.027,0.044,,0.0122283,560.226,,1.22283,0.560226,,,,7.85398e-5
Test1,1-Compress,0.633,2.18,0.028,0.038,,0.0126812,483.831,,1.26812,0.483831,,,,7.85398e-5
Test1,1-Compress,0.667,2.178,0.03,0.031,,0.013587,394.704,,1.3587,0.394704,,,,7.85398e-5
Test1,1-Compress,0.700,2.177,0.031,0.031,,0.0140399,394.704,,1.40399,0.394704,,,,7.85398e-5
Test1,1-Compress,0.733,2.175,0.033,0.031,,0.0149457,394.704,,1.49457,0.394704,,,,7.85398e-5
Test1,1-Compress,0.767,2.174,0.034,0.031,,0.0153986,394.704,,1.53986,0.394704,,,,7.85398e-5
Test1,1-Compress,0.800,2.173,0.035,0.031,,0.0158514,394.704,,1.58514,0.394704,,,,7.85398e-5
Test1,1-Compress,0.833,2.171,0.037,0.038,,0.0167572,483.831,,1.67572,0.483831,,,,7.85398e-5
Test1,1-Compress,0.867,2.169,0.039,0.044,,0.017663,560.226,,1.7663,0.560226,,,,7.85398e-5
Test1,1-Compress,0.900,2.168,0.04,0.038,,0.0181159,483.831,,1.81159,0.483831,,,,7.85398e-5
Test1,1-Compress,0.933,2.167,0.041,0.038,,0.0185688,483.831,,1.85688,0.483831,,,,7.85398e-5
Test1,1-Compress,0.967,2.165,0.043,0.031,,0.0194746,394.704,,1.94746,0.394704,,,,7.85398e-5
