SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
Test1,1-Compress,0.000,5.741,-0,-0.015,,0,-190.986,,0,-0.190986,,,,7.85398e-5
Test1,1-Compress,0.033,5.739,0.002,0.005,,0.000348371,63.662,,0.0348371,0.063662,,,,7.85398e-5
Test1,1-Compress,0.067,5.735,0.006,0.012,,0.00104511,152.789,,0.104511,0.152789,,,,7.85398e-5
Test1,1-Compress,0.100,5.731,0.01,0.019,,0.00174186,241.916,,0.174186,0.241916,,,,7.85398e-5
Test1,1-Compress,0.133,5.728,0.013,0.012,,0.00226441,152.789,,0.226441,0.152789,,,,7.85398e-5
Test1,1-Compress,0.167,5.723,0.018,0.012,,0.00313534,152.789,,0.313534,0.152789,,,,7.85398e-5
Test1,1-Compress,0.200,5.72,0.021,0.019,,0.0036579,241.916,,0.36579,0.241916,,,,7.85398e-5
Test1,1-Compress,0.233,5.716,0.025,0.019,,0.00435464,241.916,,0.435464,0.241916,,,,7.85398e-5
Test1,1-Compress,0.267,5.712,0.029,0.019,,0.00505138,241.916,,0.505138,0.241916,,,,7.85398e-5
Test1,1-Compress,0.300,5.708,0.033,0.012,,0.00574813,152.789,,0.574813,0.152789,,,,7.85398e-5
Test1,1-Compress,0.333,5.705,0.036,-0.002,,0.00627068,-25.4648,,0.627068,-0.0254648,,,,7.85398e-5
Test1,1-Compress,0.367,5.7,0.041,0.012,,0.00714161,152.789,,0.714161,0.152789,,,,7.85398e-5
Test1,1-Compress,0.400,5.696,0.045,0.012,,0.00783836,152.789,,0.783836,0.152789,,,,7.85398e-5
Test1,1-Compress,0.433,5.693,0.048,0.012,,0.00836091,152.789,,0.836091,0.152789,,,,7.85398e-5
Test1,1-Compress,0.467,5.689,0.052,0.012,,0.00905766,152.789,,0.905766,0.152789,,,,7.85398e-5
Test1,1-Compress,0.500,5.685,0.056,0.012,,0.0097544,152.789,,0.97544,0.152789,,,,7.85398e-5
Test1,1-Compress,0.533,5.682,0.059,0.012,,0.010277,152.789,,1.0277,0.152789,,,,7.85398e-5
Test1,1-Compress,0.567,5.677,0.064,0.019,,0.0111479,241.916,,1.11479,0.241916,,,,7.85398e-5
Test1,1-Compress,0.600,5.674,0.067,0.025,,0.0116704,318.31,,1.16704,0.31831,,,,7.85398e-5
Test1,1-Compress,0.633,5.67,0.071,0.012,,0.0123672,152.789,,1.23672,0.152789,,,,7.85398e-5
Test1,1-Compress,0.667,5.665,0.076,-0.002,,0.0132381,-25.4648,,1.32381,-0.0254648,,,,7.85398e-5
Test1,1-Compress,0.700,5.662,0.079,0.005,,0.0137607,63.662,,1.37607,0.063662,,,,7.85398e-5
Test1,1-Compress,0.733,5.659,0.082,0.005,,0.0142832,63.662,,1.42832,0.063662,,,,7.85398e-5
Test1,1-Compress,0.767,5.654,0.087,0.012,,0.0151542,152.789,,1.51542,0.152789,,,,7.85398e-5
Test1,1-Compress,0.800,5.651,0.09,0.012,,0.0156767,152.789,,1.56767,0.152789,,,,7.85398e-5
Test1,1-Compress,0.833,5.647,0.094,0.005,,0.0163735,63.662,,1.63735,0.063662,,,,7.85398e-5
Test1,1-Compress,0.867,5.643,0.098,0.005,,0.0170702,63.662,,1.70702,0.063662,,,,7.85398e-5
Test1,1-Compress,0.900,5.639,0.102,0.012,,0.0177669,152.789,,1.77669,0.152789,,,,7.85398e-5
Test1,1-Compress,0.933,5.636,0.105,0.005,,0.0182895,63.662,,1.82895,0.063662,,,,7.85398e-5
Test1,1-Compress,0.967,5.631,0.11,-0.002,,0.0191604,-25.4648,,1.91604,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.000,5.628,0.113,0.005,,0.019683,63.662,,1.9683,0.063662,,,,7.85398e-5
Test1,1-Compress,1.033,5.624,0.117,0.005,,0.0203797,63.662,,2.03797,0.063662,,,,7.85398e-5
Test1,1-Compress,1.067,5.62,0.121,0.012,,0.0210765,152.789,,2.10765,0.152789,,,,7.85398e-5
Test1,1-Compress,1.100,5.616,0.125,0.025,,0.0217732,318.31,,2.17732,0.31831,,,,7.85398e-5
Test1,1-Compress,1.133,5.613,0.128,0.025,,0.0222958,318.31,,2.22958,0.31831,,,,7.85398e-5
Test1,1-Compress,1.167,5.608,0.133,0.025,,0.0231667,318.31,,2.31667,0.31831,,,,7.85398e-5
Test1,1-Compress,1.200,5.605,0.136,0.005,,0.0236893,63.662,,2.36893,0.063662,,,,7.85398e-5
Test1,1-Compress,1.233,5.601,0.14,-0.002,,0.024386,-25.4648,,2.4386,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.267,5.597,0.144,-0.002,,0.0250827,-25.4648,,2.50827,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.300,5.593,0.148,-0.002,,0.0257795,-25.4648,,2.57795,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.333,5.59,0.151,0.005,,0.026302,63.662,,2.6302,0.063662,,,,7.85398e-5
Test1,1-Compress,1.367,5.585,0.156,0.019,,0.027173,241.916,,2.7173,0.241916,,,,7.85398e-5
Test1,1-Compress,1.400,5.582,0.159,0.019,,0.0276955,241.916,,2.76955,0.241916,,,,7.85398e-5
Test1,1-Compress,1.433,5.578,0.163,0.012,,0.0283923,152.789,,2.83923,0.152789,,,,7.85398e-5
Test1,1-Compress,1.467,5.574,0.167,0.012,,0.029089,152.789,,2.9089,0.152789,,,,7.85398e-5
Test1,1-Compress,1.500,5.57,0.171,0.019,,0.0297858,241.916,,2.97858,0.241916,,,,7.85398e-5
Test1,1-Compress,1.533,5.567,0.174,0.005,,0.0303083,63.662,,3.03083,0.063662,,,,7.85398e-5
Test1,1-Compress,1.567,5.562,0.179,0.005,,0.0311792,63.662,,3.11792,0.063662,,,,7.85398e-5
Test1,1-Compress,1.600,5.559,0.182,-0.002,,0.0317018,-25.4648,,3.17018,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.633,5.555,0.186,-0.002,,0.0323985,-25.4648,,3.23985,-0.0254648,,,,7.85398e-5
Test1,1-Compress,1.667,5.551,0.19,0.012,,0.0330953,152.789,,3.30953,0.152789,,,,7.85398e-5
Test1,1-Compress,1.700,5.547,0.194,0.012,,0.033792,152.789,,3.3792,0.152789,,,,7.85398e-5
Test1,1-Compress,1.733,5.544,0.197,0.012,,0.0343146,152.789,,3.43146,0.152789,,,,7.85398e-5
Test1,1-Compress,1.767,5.539,0.202,0.012,,0.0351855,152.789,,3.51855,0.152789,,,,7.85398e-5
Test1,1-Compress,1.800,5.536,0.205,0.025,,0.0357081,318.31,,3.57081,0.31831,,,,7.85398e-5
Test1,1-Compress,1.833,5.532,0.209,0.019,,0.0364048,241.916,,3.64048,0.241916,,,,7.85398e-5
Test1,1-Compress,1.867,5.528,0.213,0.025,,0.0371016,318.31,,3.71016,0.31831,,,,7.85398e-5
Test1,1-Compress,1.900,5.524,0.217,0.025,,0.0377983,318.31,,3.77983,0.31831,,,,7.85398e-5
Test1,1-Compress,1.933,5.521,0.22,0.012,,0.0383209,152.789,,3.83209,0.152789,,,,7.85398e-5
Test1,1-Compress,1.967,5.516,0.225,-0.009,,0.0391918,-114.592,,3.91918,-0.114592,,,,7.85398e-5
Test1,1-Compress,2.000,5.513,0.228,-0.002,,0.0397143,-25.4648,,3.97143,-0.0254648,,,,7.85398e-5
Test1,1-Compress,2.033,5.509,0.232,0.005,,0.0404111,63.662,,4.04111,0.063662,,,,7.85398e-5
Test1,1-Compress,2.067,5.504,0.237,0.012,,0.041282,152.789,,4.1282,0.152789,,,,7.85398e-5
Test1,1-Compress,2.100,5.501,0.24,0.005,,0.0418046,63.662,,4.18046,0.063662,,,,7.85398e-5
Test1,1-Compress,2.133,5.498,0.243,0.005,,0.0423271,63.662,,4.23271,0.063662,,,,7.85398e-5
Test1,1-Compress,2.167,5.493,0.248,0.019,,0.043198,241.916,,4.3198,0.241916,,,,7.85398e-5
Test1,1-Compress,2.200,5.49,0.251,0.019,,0.0437206,241.916,,4.37206,0.241916,,,,7.85398e-5
Test1,1-Compress,2.233,5.486,0.255,0.012,,0.0444173,152.789,,4.44173,0.152789,,,,7.85398e-5
Test1,1-Compress,2.267,5.482,0.259,-0.002,,0.0451141,-25.4648,,4.51141,-0.0254648,,,,7.85398e-5
Test1,1-Compress,2.300,5.478,0.263,0.005,,0.0458108,63.662,,4.58108,0.063662,,,,7.85398e-5
Test1,1-Compress,2.333,5.475,0.266,0.005,,0.0463334,63.662,,4.63334,0.063662,,,,7.85398e-5
Test1,1-Compress,2.367,5.47,0.271,0.005,,0.0472043,63.662,,4.72043,0.063662,,,,7.85398e-5
Test1,1-Compress,2.400,5.467,0.274,0.012,,0.0477269,152.789,,4.77269,0.152789,,,,7.85398e-5
Test1,1-Compress,2.433,5.463,0.278,0.019,,0.0484236,241.916,,4.84236,0.241916,,,,7.85398e-5
