SetName,Cycle,Time_S,Size_mm,Displacement_mm,Force_N,,Strain,Stress(Pascal),,%Strain,Stress(kPa),,,,Area(m^2)
1:0 (rep 2),1-Compress,0,3.158,0,0.023,,0,292.845,,0,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.033,3.156,0.002,-0.004,,0.000633312,-50.9296,,0.0633312,-0.0509296,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.067,3.154,0.004,0.009,,0.00126662,114.592,,0.126662,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.1,3.152,0.006,0.002,,0.00189994,25.4648,,0.189994,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.133,3.151,0.007,0.002,,0.00221659,25.4648,,0.221659,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.167,3.148,0.01,0.002,,0.00316656,25.4648,,0.316656,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.2,3.146,0.012,0.002,,0.00379987,25.4648,,0.379987,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.233,3.144,0.014,0.002,,0.00443319,25.4648,,0.443319,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.267,3.141,0.017,0.009,,0.00538315,114.592,,0.538315,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.3,3.139,0.019,0.016,,0.00601647,203.718,,0.601647,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.333,3.138,0.02,0.016,,0.00633312,203.718,,0.633312,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.367,3.135,0.023,0.016,,0.00728309,203.718,,0.728309,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.4,3.133,0.025,0.016,,0.0079164,203.718,,0.79164,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.433,3.131,0.027,0.009,,0.00854972,114.592,,0.854972,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.467,3.129,0.029,0.002,,0.00918303,25.4648,,0.918303,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.5,3.127,0.031,0.002,,0.00981634,25.4648,,0.981634,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.533,3.125,0.033,0.002,,0.0104497,25.4648,,1.04497,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.567,3.122,0.036,0.016,,0.0113996,203.718,,1.13996,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.6,3.12,0.038,0.023,,0.0120329,292.845,,1.20329,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.633,3.119,0.039,0.03,,0.0123496,381.972,,1.23496,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.667,3.116,0.042,0.023,,0.0132996,292.845,,1.32996,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.7,3.114,0.044,0.016,,0.0139329,203.718,,1.39329,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.733,3.112,0.046,0.016,,0.0145662,203.718,,1.45662,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.767,3.11,0.048,0.009,,0.0151995,114.592,,1.51995,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.8,3.108,0.05,0.009,,0.0158328,114.592,,1.58328,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.833,3.106,0.052,0.009,,0.0164661,114.592,,1.64661,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.867,3.104,0.054,0.016,,0.0170994,203.718,,1.70994,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.9,3.102,0.056,0.016,,0.0177327,203.718,,1.77327,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.933,3.1,0.058,0.023,,0.0183661,292.845,,1.83661,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,0.967,3.097,0.061,0.036,,0.019316,458.366,,1.9316,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1,3.095,0.063,0.03,,0.0199493,381.972,,1.99493,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.033,3.093,0.065,0.016,,0.0205826,203.718,,2.05826,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.067,3.091,0.067,0.023,,0.021216,292.845,,2.1216,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.1,3.089,0.069,0.036,,0.0218493,458.366,,2.18493,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.133,3.087,0.071,0.03,,0.0224826,381.972,,2.24826,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.167,3.085,0.073,0.016,,0.0231159,203.718,,2.31159,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.2,3.083,0.075,0.016,,0.0237492,203.718,,2.37492,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.233,3.081,0.077,0.03,,0.0243825,381.972,,2.43825,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.267,3.078,0.08,0.036,,0.0253325,458.366,,2.53325,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.3,3.076,0.082,0.023,,0.0259658,292.845,,2.59658,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.333,3.074,0.084,0.023,,0.0265991,292.845,,2.65991,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.367,3.072,0.086,0.016,,0.0272324,203.718,,2.72324,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.4,3.07,0.088,0.016,,0.0278657,203.718,,2.78657,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.433,3.068,0.09,0.002,,0.0284991,25.4648,,2.84991,0.0254648,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.467,3.065,0.093,0.023,,0.029449,292.845,,2.9449,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.5,3.063,0.095,0.036,,0.0300823,458.366,,3.00823,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.533,3.061,0.097,0.05,,0.0307156,636.62,,3.07156,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.567,3.059,0.099,0.036,,0.031349,458.366,,3.1349,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.6,3.057,0.101,0.03,,0.0319823,381.972,,3.19823,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.633,3.055,0.103,0.036,,0.0326156,458.366,,3.26156,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.667,3.053,0.105,0.043,,0.0332489,547.493,,3.32489,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.7,3.051,0.107,0.03,,0.0338822,381.972,,3.38822,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.733,3.049,0.109,0.009,,0.0345155,114.592,,3.45155,0.114592,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.767,3.046,0.112,0.03,,0.0354655,381.972,,3.54655,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.8,3.045,0.113,0.043,,0.0357821,547.493,,3.57821,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.833,3.043,0.115,0.036,,0.0364155,458.366,,3.64155,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.867,3.04,0.118,0.036,,0.0373654,458.366,,3.73654,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.9,3.038,0.12,0.043,,0.0379987,547.493,,3.79987,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.933,3.036,0.122,0.043,,0.038632,547.493,,3.8632,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,1.967,3.034,0.124,0.036,,0.0392654,458.366,,3.92654,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2,3.032,0.126,0.036,,0.0398987,458.366,,3.98987,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.033,3.03,0.128,0.05,,0.040532,636.62,,4.0532,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.067,3.028,0.13,0.043,,0.0411653,547.493,,4.11653,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.1,3.026,0.132,0.023,,0.0417986,292.845,,4.17986,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.133,3.024,0.134,0.016,,0.0424319,203.718,,4.24319,0.203718,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.167,3.021,0.137,0.036,,0.0433819,458.366,,4.33819,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.2,3.019,0.139,0.036,,0.0440152,458.366,,4.40152,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.233,3.017,0.141,0.036,,0.0446485,458.366,,4.46485,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.267,3.015,0.143,0.043,,0.0452818,547.493,,4.52818,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.3,3.013,0.145,0.043,,0.0459151,547.493,,4.59151,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.333,3.011,0.147,0.05,,0.0465484,636.62,,4.65484,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.367,3.009,0.149,0.036,,0.0471818,458.366,,4.71818,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.4,3.007,0.151,0.036,,0.0478151,458.366,,4.78151,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.433,3.005,0.153,0.05,,0.0484484,636.62,,4.84484,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.467,3.002,0.156,0.036,,0.0493984,458.366,,4.93984,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.5,3,0.158,0.03,,0.0500317,381.972,,5.00317,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.533,2.998,0.16,0.036,,0.050665,458.366,,5.0665,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.567,2.996,0.162,0.05,,0.0512983,636.62,,5.12983,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.6,2.994,0.164,0.043,,0.0519316,547.493,,5.19316,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.633,2.992,0.166,0.036,,0.0525649,458.366,,5.25649,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.667,2.989,0.169,0.043,,0.0535149,547.493,,5.35149,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.7,2.987,0.171,0.043,,0.0541482,547.493,,5.41482,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.733,2.986,0.172,0.03,,0.0544649,381.972,,5.44649,0.381972,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.767,2.983,0.175,0.023,,0.0554148,292.845,,5.54148,0.292845,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.8,2.982,0.176,0.036,,0.0557315,458.366,,5.57315,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.833,2.98,0.178,0.043,,0.0563648,547.493,,5.63648,0.547493,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.867,2.977,0.181,0.05,,0.0573148,636.62,,5.73148,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.9,2.975,0.183,0.05,,0.0579481,636.62,,5.79481,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.933,2.973,0.185,0.05,,0.0585814,636.62,,5.85814,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,2.967,2.97,0.188,0.05,,0.0595313,636.62,,5.95313,0.63662,,,,7.85398e-5
1:0 (rep 2),1-Compress,3,2.969,0.189,0.036,,0.059848,458.366,,5.9848,0.458366,,,,7.85398e-5
1:0 (rep 2),1-Compress,3.033,2.967,0.191,0.03,,0.0604813,381.972,,6.04813,0.381972,,,,7.85398e-5
